City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
0,shaowu,27.3409,117.4831,64.45,66,96,2.37,1675325363
1,avarua,-21.2078,-159.775,73.45,94,20,9.22,1675324833
2,ushuaia,-54.8,-68.3,47.86,87,0,3.44,1675324506
3,butaritari,3.0707,172.7902,80.67,78,100,20.71,1675324857
4,hermanus,-34.4187,19.2345,71.8,65,5,8.66,1675324814
5,mataura,-46.1927,168.8643,67.55,88,100,2.1,1675324791
6,rikitea,-23.1203,-134.9692,79.12,69,0,15.37,1675324831
7,vostok,46.4856,135.8833,-0.83,94,100,11.25,1675324916
8,meadow lake,34.8014,-106.5436,33.4,42,0,7.96,1675325367
9,puerto ayora,-0.7393,-90.3518,76.55,98,91,1.83,1675324911
10,hobart,-42.8794,147.3294,55.26,84,100,8.05,1675325138
11,san patricio,28.017,-97.5169,39.07,90,100,8.75,1675325021
12,saint george,37.1041,-113.5841,32.25,64,0,3.44,1675324853
13,cape town,-33.9258,18.4232,73.11,58,0,16.11,1675324933
14,hasaki,35.7333,140.8333,46.22,39,100,8.28,1675324888
15,bredasdorp,-34.5322,20.0403,73.72,54,10,5.21,1675324844
16,kaitangata,-46.2817,169.8464,66.07,87,100,0.69,1675324928
17,ribeira grande,38.5167,-28.7,55.8,71,20,6.91,1675324957
18,georgetown,5.4112,100.3354,87.75,70,20,9.22,1675324850
19,glen allen,37.666,-77.5064,34.25,87,0,3.44,1675325375
20,pevek,69.7008,170.3133,-8.97,98,79,1.7,1675324887
21,new norfolk,-42.7826,147.0587,54.91,74,99,1.99,1675324819
22,hithadhoo,-0.6,73.0833,81.46,72,45,18.5,1675324832
23,torbay,47.6666,-52.7314,14.27,86,100,3.44,1675324821
24,robstown,27.7903,-97.6689,39.74,100,100,9.22,1675325377
25,broken hill,-31.95,141.4333,77.23,27,0,23.22,1675325371
26,chuy,-33.6971,-53.4616,69.33,81,92,5.03,1675324787
27,yellowknife,62.456,-114.3525,-35.45,67,0,5.75,1675324644
28,hilo,19.7297,-155.09,76.28,92,100,1.99,1675324817
29,pangnirtung,66.1451,-65.7125,-20.58,82,100,2.55,1675324859
30,jambi,-1.6,103.6167,82.96,71,100,3.8,1675325380
31,celestun,20.8667,-90.4,71.58,76,3,11.36,1675325380
32,salalah,17.0151,54.0924,78.89,47,40,10.36,1675325023
33,albany,42.6001,-73.9662,20.03,67,100,3.2,1675324789
34,erdenet,49.0333,104.0833,9.07,87,11,3.33,1675325382
35,nome,64.5011,-165.4064,19.47,100,100,5.75,1675325165
36,bluff,-46.6,168.3333,63.55,93,100,8.03,1675324846
37,victoria,22.2855,114.1577,75.96,74,63,11.01,1675324611
38,dongsheng,39.8161,109.9776,27.21,17,99,9.37,1675325384
39,clyde river,70.4692,-68.5914,-28.86,94,34,4.41,1675324847
40,hofn,64.2539,-15.2082,31.93,89,100,17.43,1675325037
41,punta arenas,-53.15,-70.9167,50.11,76,75,9.22,1675324820
42,djougou,9.7085,1.666,77.56,33,100,5.03,1675325385
43,lasa,46.6166,10.7002,36.7,91,64,7.78,1675325129
44,marsabit,2.3284,37.9899,76.15,48,96,12.59,1675325386
45,port alfred,-33.5906,26.891,75.18,73,29,5.01,1675324789
46,atuona,-9.8,-139.0333,78.89,79,100,20.58,1675324835
